PW_gene	PW_id	PW_name						
AT3G25180	PWY-6668	"(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis"	RXN-8620	-	AT3G25180-MONOMER	TMTT synthase	AT3G25180	CYP82G1
AT1G61120	PWY-6668	"(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis"	RXN-10441	-	AT1G61120-MONOMER	"(E,E)-geranyllinalool synthase"	AT1G61120	AT1G61120
AT5G64570	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT5G64570-MONOMER	"xylan 1,4-beta-xylosidase"	AT5G64570	AT5G64570
AT5G49360	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT5G49360-MONOMER	"xylan 1,4-beta-xylosidase"	AT5G49360	AT5G49360
AT5G47000	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT5G47000-MONOMER	"xylan 1,4-beta-xylosidase"	AT5G47000	AT5G47000
AT5G26120	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT5G26120-MONOMER	alpha-N-arabinofuranosidase	AT5G26120	AT5G26120
AT5G20950	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT5G20950-MONOMER	"xylan 1,4-beta-xylosidase"	AT5G20950	AT5G20950
AT5G20940	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT5G20940-MONOMER	"xylan 1,4-beta-xylosidase"	AT5G20940	AT5G20940
AT5G10560	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT5G10560-MONOMER	"xylan 1,4-beta-xylosidase"	AT5G10560	AT5G10560
AT5G09730	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT5G09730-MONOMER	"xylan 1,4-beta-xylosidase"	AT5G09730	AT5G09730
AT5G04885	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT5G04885-MONOMER	"xylan 1,4-beta-xylosidase"	AT5G04885	AT5G04885
AT4G38650	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT4G38650-MONOMER	"endo-1,4-beta-xylanase"	AT4G38650	AT4G38650
AT4G38300	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT4G38300-MONOMER	"endo-1,4-beta-xylanase"	AT4G38300	AT4G38300
AT4G33860	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT4G33860-MONOMER	"endo-1,4-beta-xylanase"	AT4G33860	AT4G33860
AT4G33840	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT4G33840-MONOMER	"endo-1,4-beta-xylanase"	AT4G33840	AT4G33840
AT4G33830	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT4G33830-MONOMER	"endo-1,4-beta-xylanase"	AT4G33830	AT4G33830
AT4G33820	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT4G33820-MONOMER	"endo-1,4-beta-xylanase"	AT4G33820	AT4G33820
AT4G33810	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT4G33810-MONOMER	"endo-1,4-beta-xylanase"	AT4G33810	AT4G33810
AT4G08160	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT4G08160-MONOMER	"endo-1,4-beta-xylanase"	AT4G08160	AT4G08160
AT3G62710	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT3G62710-MONOMER	"xylan 1,4-beta-xylosidase"	AT3G62710	AT3G62710
AT3G47040	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT3G47040-MONOMER	"xylan 1,4-beta-xylosidase"	AT3G47040	AT3G47040
AT3G19620	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT3G19620-MONOMER	"xylan 1,4-beta-xylosidase"	AT3G19620	AT3G19620
AT3G14050	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT3G14050-MONOMER	"xylan 1,4-beta-xylosidase"	AT3G14050	AT3G14050
AT3G10740	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT3G10740-MONOMER	"xylan 1,4-beta-xylosidase"	AT3G10740	AT3G10740
AT2G14690	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT2G14690-MONOMER	"endo-1,4-beta-xylanase"	AT2G14690	AT2G14690
AT1G78060	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT1G78060-MONOMER	"xylan 1,4-beta-xylosidase"	AT1G78060	AT1G78060
AT1G68560	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT1G68560-MONOMER	"xylan 1,4-beta-xylosidase"	AT1G68560	AT1G68560
AT1G58370	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT1G58370-MONOMER	"endo-1,4-beta-xylanase"	AT1G58370	AT1G58370
AT1G10050	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.8-RXN	3.2.1.8	AT1G10050-MONOMER	"endo-1,4-beta-xylanase"	AT1G10050	AT1G10050
AT1G02640	PWY-6717	"(1,4)-&beta;-xylan degradation"	3.2.1.37-RXN	3.2.1.37	AT1G02640-MONOMER	"xylan 1,4-beta-xylosidase"	AT1G02640	AT1G02640
AT3G25180	PWY-5434	"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis"	RXN-11911	1.14.13.-	AT3G25180-MONOMER	DMNT synthase	AT3G25180	CYP82G1
AT5G36150	PWY-5377	&alpha;-amyrin biosynthesis	RXN-8434	5.4.99.40	AT5G36150-MONOMER	beta-amyrin synthase	AT5G36150	AT5G36150
AT2G07050	PWY-5377	&alpha;-amyrin biosynthesis	RXN-8434	5.4.99.40	AT2G07050-MONOMER	beta-amyrin synthase	AT2G07050	CAS1
AT1G78960	PWY-5377	&alpha;-amyrin biosynthesis	RXN-8434	5.4.99.40	AT1G78960-MONOMER	&alpha;-amyrin synthase	AT1G78960	LUP2
AT1G78955	PWY-5377	&alpha;-amyrin biosynthesis	RXN-8434	5.4.99.40	AT1G78955-MONOMER	beta-amyrin synthase	AT1G78955	AT1G78955
AT1G66960	PWY-5377	&alpha;-amyrin biosynthesis	RXN-8434	5.4.99.40	AT1G66960-MONOMER	beta-amyrin synthase	AT1G66960	AT1G66960
AT4G36250	PWY-3981	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT4G36250-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT4G36250	AT4G36250
AT4G36250	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT4G36250-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT4G36250	AT4G36250
AT4G34240	PWY-3981	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT4G34240-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT4G34240	AT4G34240
AT4G34240	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT4G34240-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT4G34240	AT4G34240
AT4G29720	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6421	1.5.3.14	AT4G29720-MONOMER	polyamine oxidase	AT4G29720	AT4G29720
AT4G16310	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6421	1.5.3.14	AT4G16310-MONOMER	polyamine oxidase	AT4G16310	AT4G16310
AT3G66658	PWY-3981	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT3G66658-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT3G66658	AT3G66658
AT3G66658	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT3G66658-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT3G66658	AT3G66658
AT3G48000	PWY-3981	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT3G48000-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT3G48000	AT3G48000
AT3G48000	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT3G48000-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT3G48000	AT3G48000
AT3G24503	PWY-3981	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT3G24503-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT3G24503	ALDH2C4
AT3G24503	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT3G24503-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT3G24503	ALDH2C4
AT3G13682	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6421	1.5.3.14	AT3G13682-MONOMER	polyamine oxidase	AT3G13682	AT3G13682
AT3G10390	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6421	1.5.3.14	AT3G10390-MONOMER	polyamine oxidase	AT3G10390	AT3G10390
AT2G43020	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6421	1.5.3.14	AT2G43020-MONOMER	polyamine oxidase	AT2G43020	AT2G43020
AT1G62830	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6421	1.5.3.14	AT1G62830-MONOMER	polyamine oxidase	AT1G62830	AT1G62830
AT1G54100	PWY-3981	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT1G54100-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT1G54100	AT1G54100
AT1G54100	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT1G54100-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT1G54100	AT1G54100
AT1G44170	PWY-3981	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT1G44170-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT1G44170	AT1G44170
AT1G44170	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT1G44170-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT1G44170	AT1G44170
AT1G23800	PWY-3981	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT1G23800-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT1G23800	AT1G23800
AT1G23800	PWY-3981-ARA	&beta;-alanine biosynthesis I	RXN-6382	1.2.1.3	AT1G23800-MONOMER	aldehyde dehydrogenase (NAD<small><sup>+</sup></small>)	AT1G23800	AT1G23800
AT5G65940	PWY-3941	&beta;-alanine biosynthesis II	RXN-6384	3.1.2.4	AT5G65940-MONOMER	3-hydroxyisobutyryl-CoA hydrolase	AT5G65940	AT5G65940
AT4G31810	PWY-3941	&beta;-alanine biosynthesis II	RXN-6384	3.1.2.4	AT4G31810-MONOMER	3-hydroxyisobutyryl-CoA hydrolase	AT4G31810	AT4G31810
AT4G16800	PWY-3941	&beta;-alanine biosynthesis II	RXN-6383	4.2.1.116	AT4G16800-MONOMER	enoyl-CoA hydratase	AT4G16800	AT4G16800
AT4G16210	PWY-3941	&beta;-alanine biosynthesis II	RXN-6383	4.2.1.116	AT4G16210-MONOMER	enoyl-CoA hydratase	AT4G16210	AT4G16210
AT4G13360	PWY-3941	&beta;-alanine biosynthesis II	RXN-6384	3.1.2.4	AT4G13360-MONOMER	3-hydroxyisobutyryl-CoA hydrolase	AT4G13360	AT4G13360
AT3G60510	PWY-3941	&beta;-alanine biosynthesis II	RXN-6384	3.1.2.4	AT3G60510-MONOMER	3-hydroxyisobutyryl-CoA hydrolase	AT3G60510	AT3G60510
AT3G24360	PWY-3941	&beta;-alanine biosynthesis II	RXN-6384	3.1.2.4	AT3G24360-MONOMER	3-hydroxyisobutyryl-CoA hydrolase	AT3G24360	AT3G24360
AT3G08860	PWY-3941	&beta;-alanine biosynthesis II	2.6.1.18-RXN	2.6.1.18	AT3G08860-MONOMER	&beta;-alanine aminotransferase	AT3G08860	AT3G08860
AT3G06860	PWY-3941	&beta;-alanine biosynthesis II	RXN-6383	4.2.1.116	AT3G06860-MONOMER	enoyl-CoA hydratase	AT3G06860	AT3G06860
AT2G30660	PWY-3941	&beta;-alanine biosynthesis II	RXN-6384	3.1.2.4	AT2G30660-MONOMER	3-hydroxyisobutyryl-CoA hydrolase	AT2G30660	AT2G30660
AT2G30650	PWY-3941	&beta;-alanine biosynthesis II	RXN-6384	3.1.2.4	AT2G30650-MONOMER	3-hydroxyisobutyryl-CoA hydrolase	AT2G30650	AT2G30650
AT1G55320	PWY-3941	&beta;-alanine biosynthesis II	PROPIONATE--COA-LIGASE-RXN	6.2.1.17	AT1G55320-MONOMER	propionate-CoA ligase	AT1G55320	AT1G55320
AT1G06550	PWY-3941	&beta;-alanine biosynthesis II	RXN-6384	3.1.2.4	AT1G06550-MONOMER	3-hydroxyisobutyryl-CoA hydrolase	AT1G06550	AT1G06550
AT3G10230	PWY-5943	&beta;-carotene biosynthesis	RXN1F-150	5.5.1.19	AT3G10230-MONOMER	lycopene &beta; cyclase	AT3G10230	LYC
AT3G10230	PWY-5943	&beta;-carotene biosynthesis	RXN1F-151	5.5.1.19	AT3G10230-MONOMER	lycopene &beta; cyclase	AT3G10230	LYC
AT5G23960	PWY-6275	&beta;-caryophyllene biosynthesis	RXN-8432	4.2.3.-	AT5G23960-MONOMER	&beta;-elemene synthase	AT5G23960	AT5G23960
AT5G23960	PWY-6275	&beta;-caryophyllene biosynthesis	RXN-8415	4.2.3.-	AT5G23960-MONOMER	&alpha;-humulene synthase	AT5G23960	AT5G23960
AT5G23960	PWY-6275	&beta;-caryophyllene biosynthesis	RXN-8414	4.2.3.57	AT5G23960-MONOMER	(<i>E</i>)-&beta;-caryophyllene synthase	AT5G23960	AT5G23960
